viral_phage_gene_fraction,ratio.virus.bacteria,score
0,0.1437494438,0
0,1.0485200301,0
0,0.5492247777,0
0,0.1038709991,0
0,0.0510299005,0
0,0.1277482322,0
0,0.0611524272,0
0,0.0904777201,0
0,0.1816100441,0
0,0.8275713126,0
0,0.2066690066,0
0,0.2712249768,0
0,0.0635259693,0
0,0.1554691804,0
0,0.1195934542,0
0,0.0525479879,0
0,0.166687374,0
0,0.1585881799,0
0,0.1539714055,0
0,0.1480312838,0
0,0.8343542367,0
0,0.1520211968,0
0,0.1354460965,0
0,0.1478861185,0
0,0.1905542475,0
0,0.1525710261,0
0,0.15876264,0
0,0.1372374841,0
0,0.1030362011,0
0,0.1954867853,0
0,0.1049870967,0
0,0.0922427586,0
0,0.159054186,0
0,0.1693763126,0
0,0.1051835599,0
0,0.1462875842,0
0,0.4542787011,0
0,0.268547503,0
0,0.8318258906,0
0,0.4298050234,0
0,1.2981676563,0
0,0.200383828,0
0,0.1298900119,0
0,1.3509022111,0
0,0.0567726581,0
0,0.2446546737,0
0,0.209704006,0
0,0.1449805474,0
0,NA,0
0,0.1561248099,0
0,0.2805231268,0
0,0.1955921256,0
0,0.2014469166,0
0,0.23465877,0
0,0.2163290842,0
0,0.2289989719,0
0,0.2964654387,0
0,0.3721063566,0
0,0.2108465241,0
0,0.1956197678,0
0,0.1373339298,0
0,0.1619554267,0
0,0.2111753094,0
0,0.1482198557,0
0,0.2038020463,0
0,0.1587779808,0
0,0.2271686646,0
0,0.1827950849,0
0,0.5608602718,0
0,0.4933394443,0
0,0.2595417303,0
0,0.1118179597,0
0,0.5323566948,0
0,0.441389564,0
0,0.4028212545,0
0,1.0073571109,0
0,0.1296812104,0
0,0.2178127977,0
0,0.8778307229,0
0,0.1224038392,0
0,0.8277789712,0
0,0.1963685311,0
0,0.189909584,0
0,0.2046074212,0
0,0.3911242347,0
0,0.2454067266,0
0,0.1118421365,0
0,0.485352668,0
0,0.0148410478,0
0,0.129529631,0
0,0.4064031125,0
0,0.1240522202,0
0,1.0779964968,0
0,0.1835792645,0
0,0.2796053414,0
0,0.0966377908,0
0,0.2753688968,0
0,0.1978023398,0
0,0.3390958395,0
0,0.6354666849,0
0,0.3610015423,0
0,0.2558711364,0
0,0.228299501,0
0,0.1863338513,0
0,0.3551752672,0
0,0.2430821977,0
0,0.1909920924,0
0,0.2971197699,0
0,0.3191026641,0
0,0.3858825998,0
0,0.5228184202,0
0,0.244019207,0
0,0.1774518149,0
0,0.277364016,0
0,0.2872007326,0
0,0.2370449908,0
0,1.2426904061,0
0,0.148948083,0
0,1.3252128159,0
0,0.9033403336,0
0,0.4368833459,0
0,0.1864035609,0
0,1.2426904061,0
0,3.229923771,0
0,0.1405051967,0
0,0.4539047749,0
0,0.7456142436,0
0,0.2026633359,0
0,0.1858894562,0
0,0.1792420855,0
0,0.7082097666,0
0,0.132993781,0
0,0.1660597693,0
0,0.1770282339,0
0,0.274304122,0
0,0.1609211343,0
0,0.1411854144,0
0,0.1293960112,0
0,0.3716593998,0
0,0.1651533737,0
0,0.1042111882,0
0,0.2690977163,0
0,0.7345564053,0
0,0.449063124,0
0,0.2264716161,0
0,0.1291027178,0
0,0.5325816026,0
0,0.0966377908,0
0,0.0932017805,0
0,0.061519327,0
0,0.0186818714,0
0,0.1476323212,0
0,0.1291623292,0
0,0.1361706838,0
0,0.1549077159,0
0,0.4509128392,0
0,0.1340635703,0
0,0.1647283335,0
0,0.1460702228,0
0,0.0935109074,0
0,2.2659291926,0
0,0.1719696569,0
0,0.1335841005,0
0,0.1470601864,0
0,0.154815038,0
0,0.2055921628,0
0,0.1463051205,0
0,0.0272121987,0
0,2.2150553017,0
0,0.858272288,0
0,0.0646724953,0
0,0.1523890718,0
0,0.1138838546,0
0,0.1008767742,0
0,0.0581933813,0
0,0.0786608525,0
0,0.1638712623,0
0,0.0572555278,0
0,0.4099893381,0
0,0.1230481447,0
0,0.1049090188,0
0,0.1016007781,0
0,0.09994829,0
0,0.7394343261,0
0,0.0427587956,0
0,0.0517787669,0
0,0.0333999555,0
0,0.1073753231,0
0,0.1673090306,0
0,0.2164246738,0
0,0.3176721737,0
0,0.2062428858,0
0,0.1537500593,0
0,0.1552828011,0
0,0.1940430511,0
0,0.1897975884,0
0,0.1429439799,0
0,0.1766243591,0
0,0.2054447849,0
0,0.1086186163,0
0,0.1462079723,0
0,0.0867740715,0
0,NA,0
0,0.1304446826,0
0,0.2924239244,0
0,0.0453414067,0
0,0.0576199268,0
0,0.0885610798,0
0,0.2765157796,0
0,0.0310257264,0
0,0.0797002281,0
0,0.5977554496,0
0,0.0492394605,0
0,0.0760584478,0
0,0.0077453003,0
0,0.2214695773,0
0,0.008159689,0
0,0.2265781129,0
0,0.1371147554,0
0,0.1441142866,0
0,0.1619208838,0
0,0.0977433926,0
0,0.3970888785,0
0,0.1436707288,0
0,0.1572352775,0
0,0.1117331286,0
0,0.1324178302,0
0,0.1303015183,0
0,0.2101997602,0
0,0.1727515331,0
0,0.2230173055,0
0,0.0762015052,0
0,0.5119534419,0
0,0.0926299904,0
0,0.1304214767,0
0,0.0706506605,0
0,0.0576081645,0
0,0.3156834499,0
0,0.1153109963,0
0,0.0889369668,0
0,5.2876977863,0
0,0.0383604889,0
0,0.0932017805,0
0,0.0746519115,0
0,0.0636896306,0
0,0.1165022256,0
0,0.16868752,0
0,0.0681393354,0
0,0.0701375499,0
0,0.1209906966,0
0,0.0717441539,0
0,0.0708938492,0
0,0.070075151,0
0,0.0964826213,0
0,0.0560106854,0
0,0.7572644662,0
0,0.0497488394,0
0,0.236740892,0
0,0.1162194532,0
0,0.0722575601,0
0,0.1016145172,0
0,0.0280808808,0
0,0.0558195781,0
0,0.0494251866,0
0,0.0253528159,0
0,0.0802266519,0
0,0.0798643457,0
0,0.0745799535,0
0,0.0665247027,0
0,0.0271681303,0
0,0.0853072858,0
0,0.082277881,0
0,0.0729230069,0
0,0.2516995245,0
0,0.5337649069,0
0,0.1931946454,0
0,0.1254639352,0
0,0.1034231308,0
0,NA,0
0,0.0383021016,0
0,0.0805642509,0
0,0.1174419445,0
0,0.1039320305,0
0,0.1112267643,0
0,0.0814563412,0
0,0.4538097164,0
0,0.0881428112,0
0,0.1316180207,0
0,0.2562508349,0
0,0.4432767607,0
0,0.4405217777,0
0,0.1410113393,0
0,0.9400524408,0
0,0.1035892416,0
0,0.1520159151,0
0,0.1079121997,0
0,0.0764163161,0
0,NA,0
0,0.3478960469,0
0,0.0609203923,0
0,0.1179745325,0
0,0.0844341538,0
0,0.0896419262,0
0,0.0760256215,0
0,0.0827551258,0
0,0.0937804621,0
0,0.039414825,0
0,0.0570728078,0
0,0.0701485954,0
0,0.0415672224,0
0,0.1918222691,0
0,0.0701106208,0
0,0.0565378448,0
0,0.1007427589,0
0,0.0789058898,0
0,0.097605235,0
0,0.0705081679,0
0,0.1230500707,0
0,0.0818827012,0
0,0.127093337,0
0,0.7095277604,0
0,0.0350650101,0
0,0.0709258194,0
0,0.4309820894,0
0,0.254186674,0
0,0.1064836067,0
0,0.0646486338,0
0,0.0594904982,0
0,0.0980533127,0
0,0.0727857231,0
0,0.0866621673,0
0,0.2861678732,0
0,0.2052401817,0
0,0.0722645561,0
0,0.0906086049,0
0,0.3156834499,0
0,0.1093167444,0
0,0.109931289,0
0,0.1130624936,0
0,0.0743834128,0
0,0.0679970696,0
0,0.0782289312,0
0,0.1335052531,0
0,0.087339023,0
0,0.0540919787,0
0,0.0550704748,0
0,0.1008285558,0
0,0.0841089238,0
0,0.109833748,0
0,0.0877881763,0
0,0.0743037236,0
0,0.0712526793,0
0,0.0462582366,0
0,0.1129325195,0
0,0.2449097881,0
0,NA,0
0,0.0020156925,0
0,0.0042943186,0
0,0.0100332974,0
0,0.0011199146,0
0,0.0196733774,0
0,0.0056589362,0
0,0.0366477796,0
0,0.0079923777,0
0,0.0051574108,0
0,0.0064171718,0
0,0.0256934638,0
0,0.0022268664,0
0,0.0052822168,0
0,NA,0
0,0.0317260525,0
0,0.0082202326,0
0,0.0090780955,0
0,0.0027269702,0
0,0.006682728,0
0,0.0029745249,0
0,NA,0
0,2.1461692355,0
0,0.4297479309,0
0,0.1690237207,0
0,0.193985703,0
0,0.1239582072,0
0,0.2044932082,0
0,0.1367698626,0
0,0.168518438,0
0,0.1279256746,0
0,0.1732930041,0
0,0.1071358133,0
0,0.308678554,0
0,0.091439099,0
0,0.1348578817,0
0,0.1481352802,0
0,0.2157021404,0
0,0.0687165669,0
0,0.2837514817,0
0,0.3400605503,0
0,0.1410095088,0
0,0.199718101,0
0,0.1069872528,0
0,0.187109635,0
0,0.2467105953,0
0,21.8371771607,0
0,NA,0
0,0.3495066767,0
0,0.1214248548,0
0,0.0973415954,0
0,0.080024977,0
0,0.0729893461,0
0,NA,0
0,0.1445704185,0
0,0.2995771515,0
0,0.0985059468,0
0,NA,0
0,0.1148014632,0
0,0.1044169325,0
0,0.0873766692,0
0,0.2874264698,0
0,NA,0
0,0.0951398137,0
0,0.0960227889,0
0,0.032894746,0
0,1.0883261723,0
0,NA,0
0,0.2354571296,0
0,0.8987314544,0
0,0.097298562,0
0,0.3106726015,0
0,0.1431714097,0
0,0.2184416729,0
0,0.5592106827,0
0,0.1195107425,0
0,0.0617039506,0
0,0.1467744574,0
0,0.1963032319,0
0,0.0519955746,0
0,0.1742582864,0
0,0.1083741633,0
0,1.9894995443,0
0,0.2930361656,0
0,0.6379345167,0
0,0.0916738824,0
0,0.1187003808,0
0,0.0640122119,0
0,0.0780490202,0
0,0.0597258245,0
0,0.1096949169,0
0,0.1030966929,0
0,0.2651429961,0
0,0.0984309233,0
0,0.129826527,0
0,0.0777881939,0
0,0.1067937068,0
0,0.091831166,0
0,0.075383793,0
0,0.1343706651,0
0,0.1201429201,0
0,0.1789861182,0
0,0.175184119,0
0,0.0479561734,0
0,0.073283658,0
0,0.3168860535,0
0,0.0686268369,0
0,0.1327940935,0
0,0.1189809963,0
0,1.0950683234,0
0,1.0614906891,0
0,0.6734396941,0
0,1.485403376,0
0,0.0478776269,0
0,0.3221259693,0
0,0.1103705295,0
0,0.0898474747,0
0,0.2460945888,0
0,0.1612720066,0
0,0.0399436202,0
0,0.1553363008,0
0,0.0755690112,0
0,0.0741122592,0
0,0.0580094069,0
0,0.2651429961,0
0,0.1567880419,0
0,0.3106726015,0
0,0.0365156229,0
0,0.0898330414,0
0,0.0776681504,0
0,0.2980564553,0
0,0.2245006391,0
0,0.9320178046,0
0,0.0440819232,0
0,0.0817559478,0
0,0.0625133893,0
0,0.1118421365,0
0,0.147160706,0
0,NA,0
0,NA,0
0,0.0341502707,0
0,0.096415635,0
0,0.0885293957,0
0,0.11351642,0
0,0.2162870797,0
0,0.1037610573,0
0,0.1068410654,0
0,0.1157747575,0
0,0.2308429998,0
0,0.1749430814,0
0,0.1252712103,0
0,0.3477731449,0
0,0.2083365461,0
0,0.109943119,0
0,0.2615939543,0
0,0.4588257207,0
0,0.1206309639,0
0,0.1844302333,0
0,0.1110562004,0
0,0.071142626,0
0,0.1036225825,0
0,0.1828642528,0
0,0.1431795468,0
0,0.2593114053,0
0,0.3176218571,0
0,0.294321412,0
0,0.1113812486,0
0,0.106307402,0
0,0.2586859636,0
0,0.0596668185,0
0,1.6051417745,0
0,0.2297394206,0
0,0.8861997356,0
0,0.5869577777,0
0,0.308655247,0
0,0.1867227451,0
0,0.4133296351,0
0,0.0951536502,0
0,0.2754934981,0
0,0.1724599875,0
0,0.1035575338,0
0,0.6528230437,0
0,0.1327240544,0
0,0.276445959,0
0,NA,0
0,0.3637606195,0
0,0.419408012,0
0,NA,0
0,0.273298454,0
0,0.1433873545,0
0,0.2330044511,0
0,0.1803905428,0
0,0.1331454007,0
0,0.1644737302,0
0,0.0844928271,0
0,0.0927893832,0
0,0.0388340752,0
0,0.36505145,0
0,0.2496476262,0
0,0.1803905428,0
0,NA,0
0,0.1165022256,0
0,0.1440296271,0
0,0.0569332143,0
0,0.1521063873,0
0,NA,0
0,0.5976297373,0
0,0.3106726015,0
0,0.194749989,0
0,NA,0
0,0.259810273,0
0,0.0388340752,0
0,0.2621300075,0
0,0.0892357472,0
0,0.188922528,0
0,0.088482703,0
0,0.254186674,0
0,0.0865228255,0
0,0.9320178046,0
0,NA,0
0,0.1553363008,0
0,0.4660089023,0
0,0.6990133534,0
0,0.0588642824,0
0,0.1747533384,0
0,0.2796053414,0
0,0.0641296655,0
0,0.0873766692,0
0,0.1553363008,0
0,0.1346594286,0
0,0.0676878644,0
0,0.1056505244,0
0,0.2597251451,0
0,0.0829670055,0
0,0.0765089243,0
0,0.0410256144,0
0,0.1241105342,0
0,0.0581541891,0
0,0.0769652712,0
0,0.2588938346,0
0,0.0552468692,0
0,0.0875245146,0
0,0.0818547235,0
0,0.0622883186,0
0,0.3023581363,0
0,0.2647151161,0
0,0.1415006788,0
0,0.1226924931,0
0,0.042702011,0
0,0.0917257342,0
0,0.7037914905,0
0,0.030465473,0
0,0.1314975615,0
0,0.2330044511,0
0,0.098452585,0
0,0.0405225132,0
0,0.0566767584,0
0,0.0755690112,0
0,0.1357307482,0
0,0.1910971758,0
0,0.0896170966,0
0,0.0870901883,0
0,0.1325143798,0
0,0.3474791949,0
0,0.0731139165,0
0,0.0482078175,0
0,0.0881638464,0
0,0.0575815598,0
0,0.0523392948,0
0,NA,0
0,0.6267016272,0
0,0.1118421365,0
0,0.0649083828,0
0,NA,0
0,0.0438596614,0
0,0.1133535168,0
0,0.0378697979,0
0,NA,0
0,0.3206483273,0
0,0.0379554762,0
0,0.162561245,0
0,0.8977524441,0
0,0.0448564719,0
0,0.394315225,0
0,0.0686945394,0
0,0.4111843255,0
0,0.0411184326,0
0,0.0617230334,0
0,0.1251964215,0
0,NA,0
0,0.3289474604,0
0,NA,0
0,4.1940801205,0
0,0.4236444566,0
0,0.2796053414,0
0,0.2045892742,0
0,0.188922528,0
0,0.1588666712,0
0,0.0830510915,0
0,0.0985059468,0
0,NA,0
0,0.4660089023,0
0,0.0873766692,0
0,NA,0
0,0.1701827796,0
0,0.1836481882,0
0,0.1083576931,0
0,0.1077923251,0
0,0.1742826676,0
0,0.0925336673,0
0,0.1193384893,0
0,0.1519469126,0
0,0.3288379281,0
0,0.192599055,0
0,0.0821748931,0
0,0.118578174,0
0,0.1384011402,0
0,0.1525474119,0
0,0.2537284047,0
0,0.0890709536,0
0,0.1808955241,0
0,0.085573165,0
0,0.0707163285,0
0,0.2548486184,0
0,0.174125482,0
0,0.1373427996,0
0,0.0940556187,0
0,0.1178924669,0
0,0.2112959619,0
0,0.0995801146,0
0,0.1927641281,0
0,0.085048694,0
0,0.0923533897,0
0,0.2208572997,0
0,0.7699430373,0
0,0.1433370079,0
0,0.0597689683,0
0,0.1224930036,0
0,0.2381067384,0
0,0.0822368651,0
0,0.2040597988,0
0,0.409378245,0
0,0.0689572774,0
0,0.584249967,0
0,0.14649027,0
0,0.0796920761,0
0,0.2597800238,0
0,0.3336200096,0
0,0.1368594566,0
0,0.6891680949,0
0,0.227635685,0
0,0.2549860031,0
0,0.1015867157,0
0,0.1363928494,0
0,0.3519854475,0
0,0.0719149541,0
0,0.1227996432,0
0,0.290499056,0
0,0.0715944473,0
0,0.5825111278,0
0,0.1241490898,0
0,0.1075405159,0
0,0.1848630356,0
0,0.0757395959,0
0,0.1351656026,0
0,0.3075658755,0
0,0.2621300075,0
0,0.1398026707,0
0,0.2330044511,0
0,0.0956982567,0
0,0.0729405238,0
0,0.2452678433,0
0,1.0485200301,0
0,0.0526729058,0
0,0.0981071373,0
0,0.0665727003,0
0,0.3638931501,0
0,0.1677632048,0
0,0.0868339569,0
0,18.1743471888,0
0,NA,0
0,0.2621300075,0
0,0.3558613436,0
0,0.0559210683,0
0,0.0970239355,0
0,17.6500871738,0
0,0.3281083087,0
0,0.1304824926,0
0,0.1979506842,0
0,0.1457000538,0
0,0.053770258,0
0,NA,0
0,0.127093337,0
0,0.4317435418,0
0,0.1446234524,0
0,0.2588938346,0
0,0.3495066767,0
0,0.5377025796,0
0,NA,0
0,0.1020152364,0
0,0.0798835532,0
0,0.117598122,0
0,0.2353241182,0
0,0.4542818534,0
0,0.0805751763,0
0,0.366499774,0
0,0.0966393644,0
0,0.1641928371,0
0,0.554405244,0
0,0.1543888241,0
0,0.2334676807,0
0,0.1028969608,0
0,0.0811414169,0
0,0.0931004466,0
0,0.0982164068,0
0,0.0775143521,0
0,0.2838787854,0
0,0.2658823798,0
0,1.1267677936,0
0,0.1607312142,0
0,0.1092208365,0
0,0.2567804155,0
0,0.2243102552,0
0,0.1781978851,0
0,0.1035291308,0
0,0.1251320201,0
0,0.1036738906,0
0,0.0733086382,0
0,0.1233788612,0
0,0.1725958897,0
0,0.1049848953,0
0,0.10627964,0
0,0.0236286204,0
0,0.7649067405,0
0,0.1822823937,0
0,0.4416064091,0
0,0.6713687575,0
0,0.3404285812,0
0,NA,0
0,0.1250528476,0
0,0.0624548013,0
0,0.1952551267,0
0,0.7289710686,0
0,0.0897129438,0
0,0.1002568953,0
0,0.1211161751,0
0,0.740131786,0
0,0.2240427415,0
0,0.3321980771,0
0,0.3332505522,0
0,0.2224133397,0
0,0.0901952714,0
0,0.1593192828,0
0,0.1864035609,0
0,0.1181128554,0
0,0.0805102363,0
0,0.1553363008,0
0,3.4950667671,0
0,0.399436202,0
0,0.5150624709,0
0,0.0918621245,0
0,0.5196205459,0
0,0.3323979583,0
0,0.1387747099,0
0,0.1165022256,0
0,0.2918211087,0
0,NA,0
0,0.5083733479,0
0,NA,0
0,NA,0
0,0.2796053414,0
0,0.2330044511,0
0,1.6522133808,0
0,0.5991543029,0
